产地,产品,类别,单位,低价,高价,均价,发行时间
nan,梅花肉,肉禽蛋,斤,10.0,10.5,10.25,2023-07-02 00:00:00
nan,纯瘦肉,肉禽蛋,斤,8.5,9.5,9.0,2023-07-02 00:00:00
nan,护心肉,肉禽蛋,斤,15.0,16.0,15.5,2023-07-02 00:00:00
nan,前肘,肉禽蛋,斤,7.5,9.0,8.25,2023-07-02 00:00:00
nan,后肘（带骨）,肉禽蛋,斤,6.5,8.0,7.25,2023-07-02 00:00:00
冀,圆白菜,蔬菜,斤,0.7,1.2,0.95,2023-07-01 00:00:00
冀鲁,紫甘蓝,蔬菜,斤,1.2,1.3,1.25,2023-07-01 00:00:00
冀鲁,芹菜,蔬菜,斤,1.6,2.2,1.9,2023-07-01 00:00:00
鲁辽,西芹,蔬菜,斤,2.2,2.8,2.5,2023-07-01 00:00:00
冀蒙,菠菜,蔬菜,斤,2.0,2.5,2.25,2023-07-01 00:00:00
冀,莴笋,蔬菜,斤,0.8,1.3,1.05,2023-07-01 00:00:00
冀,团生菜,蔬菜,斤,1.3,1.6,1.45,2023-07-01 00:00:00
冀,散叶生菜,蔬菜,斤,1.2,1.5,1.35,2023-07-01 00:00:00
冀京,油菜,蔬菜,斤,0.8,1.0,0.9,2023-07-01 00:00:00
冀,香菜,蔬菜,斤,2.0,3.5,2.75,2023-07-01 00:00:00
冀,茴香,蔬菜,斤,1.2,1.5,1.35,2023-07-01 00:00:00
冀,韭菜,蔬菜,斤,1.0,1.5,1.25,2023-07-01 00:00:00
冀辽,苦菊,蔬菜,斤,2.2,3.1,2.65,2023-07-01 00:00:00
冀辽,油麦菜,蔬菜,斤,2.0,2.5,2.25,2023-07-01 00:00:00
冀甘,散菜花,蔬菜,斤,1.8,2.8,2.3,2023-07-01 00:00:00
冀,绿菜花,蔬菜,斤,2.0,2.5,2.25,2023-07-01 00:00:00
nan,绿豆芽,蔬菜,斤,0.95,1.0,0.98,2023-07-01 00:00:00
nan,黄豆芽,蔬菜,斤,0.85,0.9,0.88,2023-07-01 00:00:00
冀鲁,番茄,蔬菜,斤,1.2,1.5,1.35,2023-07-01 00:00:00
冀,番茄,蔬菜,斤,1.4,1.8,1.6,2023-07-01 00:00:00
鲁,蒜米,蔬菜,斤,4.5,5.0,4.75,2023-07-01 00:00:00
鲁,大葱,蔬菜,斤,1.0,1.1,1.05,2023-07-01 00:00:00
冀豫,小葱,蔬菜,斤,1.3,2.0,1.65,2023-07-01 00:00:00
豫鲁,蒜苗,蔬菜,斤,3.0,6.5,4.75,2023-07-01 00:00:00
冀,蒜黄,蔬菜,斤,7.0,8.0,7.5,2023-07-01 00:00:00
甘,青蒜,蔬菜,斤,6.0,6.5,6.25,2023-07-01 00:00:00
冀京,平菇,蔬菜,斤,2.5,3.5,3.0,2023-07-01 00:00:00
冀,香菇,蔬菜,斤,3.5,7.0,5.25,2023-07-01 00:00:00
冀豫京,白玉菇,蔬菜,斤,3.0,3.5,3.25,2023-07-01 00:00:00
冀闽,口蘑,蔬菜,斤,7.0,7.5,7.25,2023-07-01 00:00:00
苏豫津,杏鲍菇,蔬菜,斤,2.5,3.0,2.75,2023-07-01 00:00:00
辽鲁京,金针菇,蔬菜,斤,1.5,2.5,2.0,2023-07-01 00:00:00
nan,菠萝,水果,斤,2.2,2.8,2.5,2023-07-01 00:00:00
nan,圣女果,水果,斤,4.0,5.0,4.5,2023-07-01 00:00:00
nan,百香果,水果,斤,9.5,10.0,9.75,2023-07-01 00:00:00
nan,冬枣,水果,斤,12.0,20.0,16.0,2023-07-01 00:00:00
nan,杨梅,水果,斤,10.0,15.0,12.5,2023-07-01 00:00:00
nan,蓝莓,水果,斤,15.0,45.0,30.0,2023-07-01 00:00:00
nan,火龙果,水果,斤,3.5,9.0,6.25,2023-07-01 00:00:00
nan,火龙果,水果,斤,3.0,5.0,4.0,2023-07-01 00:00:00
